Date,Open,High,Low,Close,Adj Close,Volume
4/17/2023,289.929993,291.600006,286.160004,288.799988,286.448975,23836200
4/18/2023,291.570007,291.76001,287.01001,288.369995,286.022522,20161800
4/19/2023,285.98999,289.049988,284.540009,288.450012,286.101898,17150300
4/20/2023,285.25,289.029999,285.079987,286.109985,283.780914,23244400
4/21/2023,285.01001,286.269989,283.059998,285.76001,283.433777,21676400
4/24/2023,282.089996,284.950012,278.720001,281.769989,279.476257,26611000
4/25/2023,279.51001,281.600006,275.369995,275.420013,273.177979,45772200
4/26/2023,296.700012,299.570007,292.730011,295.369995,292.965546,64599200
4/27/2023,295.970001,305.200012,295.25,304.829987,302.348541,46462600
4/28/2023,304.01001,308.929993,303.309998,307.26001,304.758759,36446700
5/1/2023,306.970001,308.600006,305.149994,305.559998,303.072601,21294100
5/2/2023,307.76001,309.179993,303.910004,305.410004,302.923828,26404400
5/3/2023,306.619995,308.609985,304.089996,304.399994,301.922058,22360800
5/4/2023,306.23999,307.76001,303.399994,305.410004,302.923828,22519900
5/5/2023,305.720001,311.970001,304.269989,310.649994,308.121155,28181200
5/8/2023,310.130005,310.200012,306.089996,308.649994,306.137421,21318600
5/9/2023,308,310.040009,306.309998,307,304.500885,21340800
5/10/2023,308.619995,313,307.670013,312.309998,309.767609,30078000
5/11/2023,310.100006,311.119995,306.26001,310.109985,307.585541,31680200
5/12/2023,310.549988,310.649994,306.600006,308.970001,306.454834,19758100
5/15/2023,309.100006,309.899994,307.589996,309.459991,306.940796,16336500
5/16/2023,309.829987,313.709991,309.829987,311.73999,309.202271,26730300
5/17/2023,312.290009,314.429993,310.73999,314,312.124725,24315000
5/18/2023,314.529999,319.040009,313.720001,318.519989,316.617737,27276000
5/19/2023,316.73999,318.75,316.369995,318.339996,316.438782,27529500
5/22/2023,318.600006,322.589996,318.01001,321.179993,319.261841,24115700
5/23/2023,320.029999,322.720001,315.25,315.26001,313.377197,30797200
5/24/2023,314.730011,316.5,312.609985,313.850006,311.975616,23384900
5/25/2023,323.23999,326.899994,320,325.920013,323.973572,43301700
5/26/2023,324.019989,333.399994,323.880005,332.890015,330.901917,36630600
5/30/2023,335.230011,335.73999,330.519989,331.209991,329.231964,29503100
5/31/2023,332.290009,335.940002,327.329987,328.390015,326.428802,45950600
6/1/2023,325.929993,333.529999,324.720001,332.579987,330.59375,26773900
6/2/2023,334.25,337.5,332.549988,335.399994,333.396912,25864000
6/5/2023,335.220001,338.559998,334.660004,335.940002,333.933716,21307100
6/6/2023,335.329987,335.369995,332.170013,333.679993,331.687195,20396200
6/7/2023,331.649994,334.48999,322.5,323.380005,321.4487,40717100
6/8/2023,323.940002,326.640015,323.350006,325.26001,323.317505,23277700
6/9/2023,324.98999,329.98999,324.410004,326.790009,324.838348,22514900
6/12/2023,328.579987,332.100006,325.160004,331.850006,329.868134,24260300
6/13/2023,334.470001,336.980011,330.390015,334.290009,332.293549,22951300
6/14/2023,334.339996,339.040009,332.809998,337.339996,335.325348,26003800
6/15/2023,337.480011,349.839996,337.200012,348.100006,346.021088,38899100
6/16/2023,351.320007,351.470001,341.950012,342.329987,340.285522,46533600
6/20/2023,339.309998,342.079987,335.859985,338.049988,336.031097,26375400
6/21/2023,336.369995,337.730011,332.070007,333.559998,331.567932,25117800
6/22/2023,334.119995,340.119995,333.339996,339.709991,337.681152,23556800
6/23/2023,334.359985,337.959991,333.450012,335.019989,333.019196,23084700
6/26/2023,333.720001,336.109985,328.48999,328.600006,326.637543,21520600
6/27/2023,331.859985,336.149994,329.299988,334.570007,332.571899,24354100
6/28/2023,334.660004,337.980011,333.809998,335.850006,333.844238,20259500
6/29/2023,334.709991,336.109985,332.619995,335.049988,333.049011,16997000
6/30/2023,337.75,342.730011,337.200012,340.540009,338.506195,26823800
7/3/2023,339.190002,340.899994,336.570007,337.98999,335.971436,12508700
7/5/2023,335.089996,341.649994,334.730011,338.149994,336.130493,18172400
7/6/2023,337.299988,342.98999,335.5,341.269989,339.231842,28161200
7/7/2023,339.320007,341.790009,337,337.220001,335.206055,21185300
7/10/2023,334.600006,335.230011,327.589996,331.829987,329.848206,32791400
7/11/2023,331.059998,332.859985,327,332.470001,330.484406,26698200
7/12/2023,336.600006,341.649994,335.670013,337.200012,335.186188,29995300
7/13/2023,339.559998,343.73999,339.019989,342.660004,340.613556,20567200
7/14/2023,347.589996,351.429993,344.309998,345.23999,343.178131,28302200
7/17/2023,345.679993,346.98999,342.200012,345.730011,343.665253,20363900
7/18/2023,345.829987,366.779999,342.170013,359.48999,357.343079,64872700
7/19/2023,361.75,362.459991,352.440002,355.079987,352.959381,39732900
